time decyear lat lon Hice1 Hice2 Himth geoid distnode width reachID nodeID wse OCval
420896834.757534 2013.336 44.247255 -93.971707 298.96244404385 NA 296.273022397403 -27.3979315446752 2987.91602298685 86.5 74288100121 74288100120251 227.199996948242 0
420896834.783472 2013.336 44.248772 -93.972261 298.88606095615 299.039760956149 299.188680130805 -27.3961434553248 2926.83930386871 89.5 74288100121 74288100120241 227.199996948242 0
420896834.809409 2013.336 44.250288 -93.972814 299.120579043851 295.514079043851 301.23503163376 -27.3943565446752 2866.47101682935 89.5 74288100121 74288100120241 227.199996948242 0
420896834.835347 2013.336 44.251805 -93.973368 299.05969595615 294.106895956149 303.185188277403 -27.3925684553248 2815.50988042767 89.5 74288100121 74288100120241 227.199996948242 0
420896834.861285 2013.336 44.253321 -93.973921 300.312414043849 295.93421404385 304.492078869257 -27.3907815446752 2774.64672807542 89.5 74288100121 74288100120241 227.199996948242 0
420896834.887223 2013.336 44.254838 -93.974475 300.553130956149 300.53163095615 305.374659899592 -27.3889934553248 2744.17447938897 89.5 74288100121 74288100120241 227.199996948242 0
420896834.913161 2013.336 44.256354 -93.975029 303.00724904385 296.62344904385 306.053124236049 -27.3872065446752 2724.50612708689 89.5 74288100121 74288100120241 227.199996948242 0
420896834.939099 2013.336 44.257871 -93.975582 302.927565956151 296.205365956151 306.664950908119 -27.3854184553248 2715.9859068436 89.5 74288100121 74288100120241 227.199996948242 0
420896834.965037 2013.336 44.259387 -93.976136 300.19138404385 296.705684043851 306.356188342476 -27.3836315446752 2718.51660270253 89.5 74288100121 74288100120241 227.199996948242 0
420896834.990975 2013.336 44.260904 -93.97669 298.29520095615 295.915200956149 306.55599045064 -27.3818434553248 2656.44388592339 120.5 74288100111 74288100110451 226.199996948242 0
420896835.016913 2013.336 44.26242 -93.977244 297.959319043853 295.570519043852 306.335358803337 -27.3800565446752 2501.08736566995 120.5 74288100111 74288100110451 226.199996948242 0
420896835.042851 2013.336 44.263937 -93.977797 297.798935956149 297.723635956149 306.106359433686 -27.3782684553248 2348.34114110942 120.5 74288100111 74288100110451 226.199996948242 0
420896835.068789 2013.336 44.265453 -93.978351 310.818254043852 NA 305.934314512446 -27.3764815446752 2198.80627660392 120.5 74288100111 74288100110451 226.199996948242 0
420896835.094727 2013.336 44.26697 -93.978905 297.005370956148 296.650470956148 306.608602316996 -27.3746934553248 2053.07772924187 120.5 74288100111 74288100110451 226.199996948242 0
420896835.120665 2013.336 44.268487 -93.979459 299.500087868448 296.575587868447 306.975671526442 -27.3729053659743 1912.12339461214 120.5 74288100111 74288100110451 226.199996948242 0
420896835.146603 2013.336 44.270003 -93.980013 298.896905956149 295.68700595615 306.564536780905 -27.3711184553248 1777.14232761696 120.5 74288100111 74288100110451 226.199996948242 0
420896835.172541 2013.336 44.27152 -93.980567 NA NA NA -27.3693303659743 1637.77619976278 67 74288100111 74288100110441 226.199996948242 0
420896835.198479 2013.336 44.273036 -93.981121 NA NA NA -27.3675434553248 1504.93221923088 67 74288100111 74288100110441 226.199996948242 0
420896835.224417 2013.336 44.274553 -93.981675 295.013357868447 289.675457868447 304.797642532343 -27.3657553659743 1381.23819143111 67 74288100111 74288100110441 226.199996948242 0
420896835.250355 2013.336 44.276069 -93.982228 294.704575956151 288.640275956151 304.454061568829 -27.3639684553248 1269.57394734525 67 74288100111 74288100110441 226.199996948242 0
420896835.276293 2013.336 44.277586 -93.982782 302.391292868447 273.597292868445 303.715641194924 -27.3621803659743 1173.10899026091 67 74288100111 74288100110441 226.199996948242 0
420896835.302231 2013.336 44.279102 -93.983337 303.676810956149 284.816010956149 303.226053903318 -27.3603934553248 1075.55787528029 77 74288100111 74288100110431 226.199996948242 30
420896835.328169 2013.336 44.280619 -93.983891 295.438127868446 287.586327868446 303.551495543781 -27.3586053659743 993.509096435202 77 74288100111 74288100110431 226.199996948242 7
420896835.354107 2013.336 44.282135 -93.984445 295.804045956149 289.22444595615 303.99643741415 -27.3568184553248 930.341793152616 117 74288100111 74288100110421 226.199996948242 0
420896835.380045 2013.336 44.283652 -93.984999 296.235362868449 290.064562868449 303.370894786194 -27.3550303659743 858.536445276381 94 74288100111 74288100110411 226.199996948242 0
420896835.405983 2013.336 44.285168 -93.985553 297.635180956149 290.480780956149 303.275225200639 -27.3532434553248 758.441563032605 101 74288100111 74288100110401 226.199996948242 0
420896835.431921 2013.336 44.286685 -93.986107 296.611797868446 290.759497868446 303.220557485182 -27.3514553659743 620.824563642893 127 74288100111 74288100110381 225.600006103516 0
420896835.457859 2013.336 44.288201 -93.986661 295.44421595615 291.599215956148 303.552993016763 -27.3496684553248 475.051973194953 108 74288100111 74288100110371 225.600006103516 0
420896835.483797 2013.336 44.289718 -93.987215 298.917532868447 291.939132868447 303.952116433299 -27.3478803659743 324.146680075989 108 74288100111 74288100110371 225.600006103516 0
420896835.509735 2013.336 44.291234 -93.987769 296.038950956149 292.183950956148 304.023165237708 -27.3460934553248 212.546447191475 108 74288100111 74288100110371 225.600006103516 2
420896835.535673 2013.336 44.292751 -93.988324 298.482567868447 293.577067868448 304.274269725068 -27.3443053659743 93.8930393628131 104.5 74288100111 74288100110361 225.600006103516 1
420896835.561611 2013.336 44.294267 -93.988878 299.121485956149 294.232885956149 304.81297121364 -27.3425184553248 64.4454829766871 120 74288100111 74288100110351 225.550003051758 37
420896835.587549 2013.336 44.295784 -93.989432 298.947202868446 297.334302868446 305.337550965583 -27.3407303659743 112.463211544289 120 74288100111 74288100110351 225.550003051758 49
420896835.613487 2013.336 44.2973 -93.989986 298.969720956149 297.29452095615 305.743562855259 -27.3389434553248 191.378795523156 94 74288100111 74288100110341 225.5 0
420896835.639425 2013.336 44.298817 -93.990541 297.090937868448 292.293737868447 306.190057644718 -27.3371553659743 347.43408176977 94 74288100111 74288100110341 225.5 0
420896835.665363 2013.336 44.300333 -93.991095 299.46525595615 292.48245595615 306.518711803881 -27.3353684553248 515.138802776086 94 74288100111 74288100110341 225.5 0
420896835.691301 2013.336 44.301849 -93.991649 297.542074043851 293.693574043851 306.274082914832 -27.3335815446752 686.03843337029 94 74288100111 74288100110341 225.5 0
420896835.717239 2013.336 44.303366 -93.992204 299.892390956149 294.635890956149 306.54581522385 -27.3317934553248 858.359378590832 94 74288100111 74288100110341 225.5 0
420896835.743177 2013.336 44.304882 -93.992758 299.824064012399 294.803464012399 306.745825926239 -27.3299627627479 1031.18946312051 94 74288100111 74288100110341 225.5 0
420896835.769115 2013.336 44.306399 -93.993313 299.77549080238 284.509190802381 306.833123546493 -27.328087051783 1204.51750423246 94 74288100111 74288100110341 225.5 0
420896835.795053 2013.336 44.307915 -93.993867 294.406418827176 299.966118827176 307.720032714157 -27.3262125772788 1377.94139105008 94 74288100111 74288100110341 225.5 0
420896835.820991 2013.336 44.309432 -93.994422 294.481445617159 294.78564561716 306.968965812608 -27.3243368663139 1551.64778097513 94 74288100111 74288100110341 225.5 0
420896835.84693 2013.336 44.310948 -93.994976 284.592573641955 NA 303.771457593669 -27.3224623918097 1725.32869375938 94 74288100111 74288100110341 225.5 0
420896835.872868 2013.336 44.312465 -93.995531 299.254100431936 299.483600431936 303.721354600278 -27.3205866808447 1890.11716679466 127 74288100111 74288100110311 225.5 0
420896835.898806 2013.336 44.313981 -93.996085 299.086528456731 299.283328456731 303.357806490331 -27.3187122063406 2053.91390380636 127 74288100111 74288100110311 225.5 0
420896835.924744 2013.336 44.315498 -93.99664 303.126555246717 299.154455246716 304.045224580226 -27.3168364953756 2219.41571290708 127 74288100111 74288100110311 225.5 0
420896835.950682 2013.336 44.317014 -93.997194 303.310183271511 NA 304.533295221246 -27.3149620208715 2386.02320135646 127 74288100111 74288100110311 225.5 0
420896835.97662 2013.336 44.318531 -93.997749 298.462010061494 297.185910061494 304.958835955042 -27.3130863099065 2553.76587731021 127 74288100111 74288100110311 225.5 0
420896836.002558 2013.336 44.320047 -93.998304 298.358038086288 296.335538086287 305.223600776039 -27.3112118354023 2722.22534994733 127 74288100111 74288100110311 225.5 0
420896836.028496 2013.336 44.321564 -93.998858 296.853964876273 297.284064876272 305.122062584941 -27.3093361244374 2891.41541741478 127 74288100111 74288100110311 225.5 0
420896836.054434 2013.336 44.32308 -93.999413 297.878192901066 297.550592901066 304.942344833765 -27.3074616499332 3061.10554727017 127 74288100111 74288100110311 225.5 0
420896870.655724 2013.336 46.344011 -94.760781 379.650788692678 376.292888692679 418.53488284502 -26.0072561930091 3005.25221257842 36 74289600071 74289600070901 371.700012207031 0
420896870.681662 2013.336 46.345525 -94.761368 377.362956536605 377.359656536605 389.854302524874 -26.0081190349544 2977.59431795063 36 74289600071 74289600070901 371.700012207031 0
420896870.7076 2013.336 46.347038 -94.761956 377.28982380732 377.265723807322 387.794333885389 -26.0089813069909 2960.05642948603 36 74289600071 74289600070901 371.700012207031 0
420896870.733538 2013.336 46.348551 -94.762543 377.359791078037 377.368291078037 389.733511680855 -26.0098435790274 2943.37113930046 36 74289600071 74289600070931 372.700012207031 0
420896870.759476 2013.336 46.350065 -94.763131 377.268358921963 377.244758921964 388.912547362419 -26.0107064209726 2903.64941186332 51 74289600071 74289600070941 372.700012207031 0
420896870.785414 2013.336 46.351578 -94.763719 377.510226192678 377.520026192678 387.45830534027 -26.0115686930091 2870.64874731677 51 74289600071 74289600070941 372.700012207031 0
420896870.811352 2013.336 46.353092 -94.764306 377.573194036607 377.513494036607 386.732795683983 -26.0124315349544 2839.45193839308 48 74289600071 74289600070951 373.150009155273 0
420896870.83729 2013.336 46.354605 -94.764894 377.616561307323 377.457861307323 387.122570325128 -26.0132938069909 2815.26262261418 48 74289600071 74289600070951 373.150009155273 0
420896870.863228 2013.336 46.356118 -94.765482 377.889028578038 377.876128578037 385.788423086883 -26.0141560790274 2790.63993658868 55.5 74289600081 74289600080201 375.5 0
420896870.889166 2013.336 46.357632 -94.76607 377.770996421963 377.755596421965 386.027068785075 -26.0150189209726 2657.09538932935 55.5 74289600081 74289600080201 375.5 0
420896870.915105 2013.336 46.359145 -94.766657 377.810563692678 377.775563692678 384.731101978168 -26.0158811930091 2528.56854709374 55.5 74289600081 74289600080201 375.5 0
420896870.941043 2013.336 46.360658 -94.767245 377.820130963394 377.084130963395 384.113944943085 -26.0167434650456 2405.82190416225 55.5 74289600081 74289600080201 375.5 0
420896870.966981 2013.336 46.362172 -94.767833 376.892098807321 376.896998807321 382.970285182538 -26.0176063069909 2289.65453537856 55.5 74289600081 74289600080201 375.5 0
420896870.992919 2013.336 46.363685 -94.768421 376.653166078036 376.547466078036 381.921524568343 -26.0184685790274 2181.31818431239 55.5 74289600081 74289600080201 375.5 0
420896871.018857 2013.336 46.365198 -94.769009 377.175849527522 376.774249527521 380.616906499066 -26.0194482785964 2081.92616505647 55.5 74289600081 74289600080201 375.5 0
420896871.044795 2013.336 46.366712 -94.769597 377.489450036345 377.538850036345 378.872450830623 -26.0205462862618 1992.7403626445 55.5 74289600081 74289600080201 375.5 0
420896871.070733 2013.336 46.368225 -94.770185 376.490649818279 376.495949818278 377.872219807139 -26.0216435686909 1868.1223995319 71 74289600081 74289600080261 375.5 0
420896871.096671 2013.336 46.369738 -94.770773 376.527549600212 NA 377.529988036687 -26.0227408511201 1743.98743249759 71 74289600081 74289600080261 375.5 0
420896871.122609 2013.336 46.371252 -94.771361 379.376950109035 376.399850109035 377.154433220785 -26.0238388587854 1628.94071569 71 74289600081 74289600080261 375.5 0
420896871.148547 2013.336 46.372765 -94.771949 376.331149890965 376.340249890967 377.540724735968 -26.0249361412146 1525.24494620633 71 74289600081 74289600080261 375.5 0
420896871.174485 2013.336 46.374278 -94.772537 376.244249672901 376.257149672901 378.188251593712 -26.0260334236437 1435.24703745747 71 74289600081 74289600080261 375.5 0
420896871.200423 2013.336 46.375792 -94.773125 376.43775018172 376.323650181721 377.005923996396 -26.0271314313091 1361.59911149864 71 74289600081 74289600080261 375.5 0
420896871.226361 2013.336 46.377305 -94.773713 376.440249963657 376.358249963656 376.980507286446 -26.0282287137382 1307.22066441875 71 74289600081 74289600080261 375.5 0
420896871.252299 2013.336 46.378818 -94.774301 376.46374974559 376.37464974559 376.938270444195 -26.0293259961673 1274.49456879605 71 74289600081 74289600080261 375.5 0
420896871.278237 2013.336 46.380332 -94.77489 376.296650254411 376.286550254411 377.138885265396 -26.0304240038327 1265.14944759783 71 74289600081 74289600080261 375.5 0
420896871.304175 2013.336 46.381845 -94.775478 376.258550036345 376.290050036344 377.194893769613 -26.0315212862618 1137.27988730391 54 74289600081 74289600080411 376.200012207031 0
420896871.330113 2013.336 46.383358 -94.776066 376.080449818276 375.602249818277 377.250426517855 -26.0326185686909 978.806586939769 54 74289600081 74289600080411 376.200012207031 0
420896871.356051 2013.336 46.384872 -94.776654 375.627050327099 375.560950327099 377.287898106726 -26.0337165763563 826.549447401139 54 74289600081 74289600080411 376.200012207031 0
420896871.381989 2013.336 46.386385 -94.777243 NA NA NA -26.0348138587854 684.984036194157 54 74289600081 74289600080411 376.200012207031 0
420896871.407927 2013.336 46.387898 -94.777831 NA NA NA -26.0359111412146 555.586615261504 42 74289600081 74289600080421 376.200012207031 0
420896871.433865 2013.336 46.389412 -94.778419 NA NA NA -26.0370091488799 418.47992265931 42 74289600081 74289600080421 376.200012207031 0
420896871.459803 2013.336 46.390925 -94.779008 NA NA NA -26.0381064313091 311.449881257154 63 74289600081 74289600080431 376.200012207031 0
420896871.485741 2013.336 46.392438 -94.779596 NA NA NA -26.0392037137382 193.69979334688 63 74289600081 74289600080431 376.200012207031 0
420896871.511679 2013.336 46.393952 -94.780184 NA NA NA -26.0403017214036 99.3638013455291 42 74289600081 74289600080441 376.75 0
420896871.537617 2013.336 46.395465 -94.780773 375.879550254411 375.809150254412 377.210364698935 -26.0413990038327 110.096849080467 33 74289600081 74289600080451 377.399993896484 25
